wallet,score,deposit_amount,borrow_amount,repay_amount,repayment_ratio,borrow_deposit_ratio,liquidations,active_days
0x00000000001accfa9cef68cf5371a23025b6d4b6,581,2.00E-09,0,0,1,0,0,0
0x000000000051d07a4fb3bd10121a343d85818da6,581,145,0,0,1,0,0,0
0x000000000096026fb41fc39f9875d164bd82e2dc,591,0.005,0,0,1,0,0,7
0x0000000000e189dd664b9ab08a33c4839953852c,755,0,0,0,1,0,0,129
0x0000000002032370b971dabd36d72f3e5a7bf1ee,284,94593.65815,39460,7.00E-08,1.77E-12,0.417152701,0,132
0x000000000a38444e0a6e37d3b630d7e855a7cb13,634,10609.61727,1.16E-08,1.16E-08,1.000744957,1.09E-12,0,39
0x000000003853fcedcd0355fec98ca3192833f00b,591,0.045426993,0,0,1,0,0,7
0x000000003ce0cf2c037493b1dc087204bd7f713e,302,274188.2753,86339.78979,336.8134531,0.003901022,0.314892348,0,123
0x000000007858e6f2668e1e06111cfa24403a5466,581,0.092647494,0,0,1,0,0,0
0x00000001a0f57e850c9db68b4a9bc34677437c5c,581,1.80E-12,0,0,1,0,0,0
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,412,800548.0506,597948.0506,599179.5354,1.002059518,0.746923374,0,30
0x00000029ff545c86524ade7caf132527707948c4,459,2703467.577,1204488.621,1204677.959,1.000157193,0.445534702,0,2
0x00000087c4cebffb95746d1935de7fbcab092f40,162,20002.00539,21000,1179.898841,0.056185659,1.049894728,0,100
0x000000e28faa823d5b53ff6c2922c28335840375,443,2330089.261,2527773.526,1774243.31,0.701899633,1.084839782,0,137
0x000006eee6e39015cb523aebdd4d0b1855aba682,462,38762.87927,23100,23100.03841,1.000001663,0.595930964,3,41
0x00000a9c78912badb92d73b6ed26456e11def5eb,581,1.69E-12,0,0,1,0,0,0
0x00001bc47f0973f794f79c16121cee879e272d6a,645,0,0,0,1,0,0,47
0x00002b503a75998c97508916a74fdb41934fa030,435,875.3846698,588795,426742.8693,0.724773256,672.6128756,0,125
0x0000897253cc85f7547317eb2080b36b3255687a,585,0.144717572,0,0,1,0,0,3
0x0000b252c943089fbba5554a1d196ef79bc77e4f,581,1.11E-12,0,0,1,0,0,0
0x0000ce08fa224696a819877070bf378e8b131acf,108,2.500000002,1417.09332,0,0,566.8373276,0,75
0x00010a708585ba4812a1c5976182626c75cb7a6b,472,198.3901697,300,300.4109486,1.001369829,1.512171699,0,79
0x00016fc0c9f7620e920e1423fd455f9574f48025,583,0.012652993,0,0,1,0,0,1
0x0002761e848b24046a53d494847b11a3e1d36b09,581,1.008031424,0,0,1,0,0,0
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,591,1.01E-12,0,0,1,0,0,7
0x0003816b25fd3d6c112eb65c089760fa3f791947,581,5000,1.3,1.3,1,0.00026,0,0
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,358,18.2,9.16E-10,0,0,5.03E-11,0,100
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,581,1.05E-09,0,0,1,0,0,0
0x0003f46779806fe779e7f30eec95dbdb4d45840b,375,2.03E-09,1.95E-09,1.40E-09,0.71790592,0.9559768,0,82
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,553,9.99E-10,5.07E-10,5.12E-10,1.009735458,0.50795935,0,82
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,223,0.845893155,5.00E-10,0,0,5.91E-10,0,0
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,401,25,16,16,1,0.64,0,0
0x0005696d4be2359526c497fe4a4c0620b41f2426,581,0.29350141,5.92E-10,5.92E-10,1.000083793,2.02E-09,0,0
0x000660cad76200a2e326f53e033919905e6c50f5,581,1.06E-12,0,0,1,0,0,0
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,581,1.3,0,0,1,0,0,0
0x00080000158a9930aeb508823103b0a977161c47,593,3,0,0,1,0,0,9
0x00099b1263c22ae2ce0a52624cef2a012e751970,591,0.004712596,0,0,1,0,0,7
0x0009ce45d5df78e632a0b4987079432dfba2253a,581,0.041,0,0,1,0,0,0
0x000a27ba176083e4b50177378cbe7469a00dd557,463,2.77E-10,1.60E-10,1.60E-10,1.000514213,0.578605545,0,33
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,256,19281.44508,48.00000001,1.34E-08,2.79E-10,0.00248944,0,25
0x000ab43e658935ba39504a1424b01756c1e9644c,195,0.1,0.01,0,0,0.1,0,0
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,747,220.0213941,0,0,1,0,0,123
0x000c8e2871750f458bf1de8ab528dda09bc95db6,537,15000,2356,2356,1,0.157066667,0,0
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,652,0.071324576,9.71E-10,9.22E-10,0.949038453,1.36E-08,0,66
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,623,200.272,4.00E-11,4.01E-11,1.00270375,2.00E-13,0,30
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,581,0.001,0,0,1,0,0,0
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,581,0.1,0,0,1,0,0,0
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,536,0.282569019,8.79E-10,5.02E-10,0.570979271,3.11E-09,0,80
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,608,2.132617239,0,0,1,0,0,20
0x000e840a3122ec28d0c29321db172375cb049762,617,383.708442,2.17E-10,2.17E-10,1.00064275,5.65E-13,0,26
0x000e9bd1d42999446d60ff60f1fb3afb13604202,583,18.11265599,3.50E-11,3.50E-11,1.000064829,1.93E-12,0,1
0x000eab293e332bd6e67018a9150e8807bfac3233,581,1.2,0,0,1,0,0,0
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,601,56,0,0,1,0,0,15
0x000f4432a40560bbff1b581a8b7aded8dab80026,606,9.284729019,1.76E-08,1.76E-08,1.000813694,1.90E-09,0,18
0x000f7f22bfc28d940d4b68e13213ab17cf107790,368,40826323.54,34310340.19,34316052.33,1.000166484,0.840397499,0,2
0x000f908720f9ce164d90f4fc89459fab4442907f,437,1529.696502,793.5281591,793.5551142,1.000033969,0.518748757,0,1
0x000fbfec300959d0f2f327728a889c1f5de8e2df,526,593.2331634,140,140.0491012,1.000350723,0.235994898,0,8
0x0011730224657eb527cf736039854c3a3f140e63,535,4500,739,739,1,0.164222222,0,0
0x00120ea6fdbaf057eadc1bd149f957488444e92c,581,236.7598957,2.61E-12,2.61E-12,1,1.10E-14,0,0
0x0012668072f7e0579caf7e047713d8b6d476d0db,584,3,0,0,1,0,0,2
